name	link
দার্জিলিং জমজমাট (উপন্যাস) (১৯৮৬)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%a6%e0%a6%be%e0%a6%b0%e0%a7%8d%e0%a6%9c%e0%a6%bf%e0%a6%b2%e0%a6%bf%e0%a6%82-%e0%a6%9c%e0%a6%ae%e0%a6%9c%e0%a6%ae%e0%a6%be%e0%a6%9f-%e0%a6%89%e0%a6%aa%e0%a6%a8%e0%a7%8d%e0%a6%af%e0%a6%be/
নয়ন রহস্য (উপন্যাস) (১৯৯০)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%a8%e0%a6%af%e0%a6%bc%e0%a6%a8-%e0%a6%b0%e0%a6%b9%e0%a6%b8%e0%a7%8d%e0%a6%af-%e0%a6%89%e0%a6%aa%e0%a6%a8%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%b8-%e0%a7%a7%e0%a7%af%e0%a7%af%e0%a7%a6/
নেপোলিয়নের চিঠি (গল্প) (১৯৮১)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%a8%e0%a7%87%e0%a6%aa%e0%a7%8b%e0%a6%b2%e0%a6%bf%e0%a6%af%e0%a6%bc%e0%a6%a8%e0%a7%87%e0%a6%b0-%e0%a6%9a%e0%a6%bf%e0%a6%a0%e0%a6%bf-%e0%a6%97%e0%a6%b2%e0%a7%8d%e0%a6%aa-%e0%a7%a7%e0%a7%af/
ফেলুদার গোয়েন্দাগিরি (১৯৬৫)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be%e0%a6%b0-%e0%a6%97%e0%a7%8b%e0%a6%af%e0%a6%bc%e0%a7%87%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a6%be%e0%a6%97%e0%a6%bf%e0%a6%b0%e0%a6%bf-%e0%a7%a7/
বাক্স-রহস্য (১৯৭২)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%ac%e0%a6%be%e0%a6%95%e0%a7%8d%e0%a6%b8-%e0%a6%b0%e0%a6%b9%e0%a6%b8%e0%a7%8d%e0%a6%af-%e0%a7%a7%e0%a7%af%e0%a7%ad%e0%a7%a8/
বাদশাহী আংটি (১৯৬৬)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%ac%e0%a6%be%e0%a6%a6%e0%a6%b6%e0%a6%be%e0%a6%b9%e0%a7%80-%e0%a6%86%e0%a6%82%e0%a6%9f%e0%a6%bf-%e0%a7%a7%e0%a7%af%e0%a7%ac%e0%a7%ac/
বোম্বাইয়ের বোম্বেটে (উপন্যাস) (১৯৭৬)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%ac%e0%a7%8b%e0%a6%ae%e0%a7%8d%e0%a6%ac%e0%a6%be%e0%a6%87%e0%a7%9f%e0%a7%87%e0%a6%b0-%e0%a6%ac%e0%a7%8b%e0%a6%ae%e0%a7%8d%e0%a6%ac%e0%a7%87%e0%a6%9f%e0%a7%87-%e0%a7%a7%e0%a7%af%e0%a7%ad/
বোসপুকুরে খুনখারাপি (গল্প) (১৯৮৫)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%ac%e0%a7%8b%e0%a6%b8%e0%a6%aa%e0%a7%81%e0%a6%95%e0%a7%81%e0%a6%b0%e0%a7%87-%e0%a6%96%e0%a7%81%e0%a6%a8%e0%a6%96%e0%a6%be%e0%a6%b0%e0%a6%be%e0%a6%aa%e0%a6%bf-%e0%a6%97%e0%a6%b2%e0%a7%8d/
ভূস্বর্গ ভয়ংকর (গল্প) (১৯৮৭)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%ad%e0%a7%82%e0%a6%b8%e0%a7%8d%e0%a6%ac%e0%a6%b0%e0%a7%8d%e0%a6%97-%e0%a6%ad%e0%a6%af%e0%a6%bc%e0%a6%82%e0%a6%95%e0%a6%b0-%e0%a6%97%e0%a6%b2%e0%a7%8d%e0%a6%aa-%e0%a7%a7%e0%a7%af%e0%a7%ae/
যত কাণ্ড কাঠমাণ্ডুতে (উপন্যাস) (১৯৮০)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%af%e0%a6%a4-%e0%a6%95%e0%a6%be%e0%a6%a3%e0%a7%8d%e0%a6%a1-%e0%a6%95%e0%a6%be%e0%a6%a0%e0%a6%ae%e0%a6%be%e0%a6%a3%e0%a7%8d%e0%a6%a1%e0%a7%81%e0%a6%a4%e0%a7%87-%e0%a6%89%e0%a6%aa%e0%a6%a8/
রবার্টসনের রুবি (উপন্যাস) (১৯৯১)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%b0%e0%a6%ac%e0%a6%be%e0%a6%b0%e0%a7%8d%e0%a6%9f%e0%a6%b8%e0%a6%a8%e0%a7%87%e0%a6%b0-%e0%a6%b0%e0%a7%81%e0%a6%ac%e0%a6%bf-%e0%a6%89%e0%a6%aa%e0%a6%a8%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%b8/
রয়েল বেঙ্গল রহস্য (১৯৭৪)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%b0%e0%a6%af%e0%a6%bc%e0%a7%87%e0%a6%b2-%e0%a6%ac%e0%a7%87%e0%a6%99%e0%a7%8d%e0%a6%97%e0%a6%b2-%e0%a6%b0%e0%a6%b9%e0%a6%b8%e0%a7%8d%e0%a6%af-%e0%a7%a7%e0%a7%af%e0%a7%ad%e0%a7%aa/
লন্ডনে ফেলুদা (গল্প) (১৯৮৯)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%b2%e0%a6%a8%e0%a7%8d%e0%a6%a1%e0%a6%a8%e0%a7%87-%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%97%e0%a6%b2%e0%a7%8d%e0%a6%aa-%e0%a7%a7%e0%a7%af%e0%a7%ae%e0%a7%af/
শকুন্তলার কণ্ঠহার (গল্প) (১৯৮৮)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%b6%e0%a6%95%e0%a7%81%e0%a6%a8%e0%a7%8d%e0%a6%a4%e0%a6%b2%e0%a6%be%e0%a6%b0-%e0%a6%95%e0%a6%a3%e0%a7%8d%e0%a6%a0%e0%a6%b9%e0%a6%be%e0%a6%b0-%e0%a6%97%e0%a6%b2%e0%a7%8d%e0%a6%aa-%e0%a7%a7/
শেয়াল-দেবতা রহস্য (১৯৬৯)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%b6%e0%a7%87%e0%a6%af%e0%a6%bc%e0%a6%be%e0%a6%b2-%e0%a6%a6%e0%a7%87%e0%a6%ac%e0%a6%a4%e0%a6%be-%e0%a6%b0%e0%a6%b9%e0%a6%b8%e0%a7%8d%e0%a6%af-%e0%a7%a7%e0%a7%af%e0%a7%ac%e0%a7%af/
সমাদ্দারের চাবি (১৯৭৩)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%b8%e0%a6%ae%e0%a6%be%e0%a6%a6%e0%a7%8d%e0%a6%a6%e0%a6%be%e0%a6%b0%e0%a7%87%e0%a6%b0-%e0%a6%9a%e0%a6%be%e0%a6%ac%e0%a6%bf-%e0%a7%a7%e0%a7%af%e0%a7%ad%e0%a7%a9/
সোনার কেল্লা (১৯৭১)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%b8%e0%a7%8b%e0%a6%a8%e0%a6%be%e0%a6%b0-%e0%a6%95%e0%a7%87%e0%a6%b2%e0%a7%8d%e0%a6%b2%e0%a6%be-%e0%a7%a7%e0%a7%af%e0%a7%ad%e0%a7%a7/
হত্যাপুরী (উপন্যাস) (১৯৭৯)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%b9%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%aa%e0%a7%81%e0%a6%b0%e0%a7%80-%e0%a6%89%e0%a6%aa%e0%a6%a8%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%b8-%e0%a7%a7%e0%a7%af%e0%a7%ad%e0%a7%af/